"PHON" "F1" "F2" "F3" "T1" "T2" "v" "v.1" "v.2"
"ue" 362.26122196058 2111.58910527285 2568.62247519029 0 0 1 0 0
"ee" 538.471749633281 2449.97633413609 3042.62343012937 0 0 1 0 0
"iy" 317.949398058813 2682.72505281865 3321.48853844638 0 0 1 0 0
"iy" 286.50948833338 2466.27842421909 3097.2287728275 0 0 1 0 0
"iy" 323.156661233199 2225.93077871429 2938.62536157258 0 0 1 0 0
"ee" 468.013364178348 2370.78175178507 3147.3163809818 0 0 1 0 0
"iy" 448.702004383501 2655.81790002525 3151.44247931393 0 0 1 0 0
"iy" 459.701766145592 2048.36766073299 2797.38296069688 0 0 1 0 0
"iy" 280.86727942664 2700.64947412755 2953.63732450065 0 0 1 0 0
"iy" 360.557010924514 2686.37651544469 3107.77076967704 0 0 1 0 0
"oe" 478.374127024192 1883.28130147706 2940.92201014804 0 0 1 0 0
"iy" 290.415903638228 2713.05400604882 3136.55106416391 0 0 1 0 0
"ee" 561.557799398114 1733.40800317586 3094.48189676928 0 0 1 0 0
"iy" 460.967254049288 2405.54762067794 3215.39199877489 1 0 1 0 0
"oe" 427.349260368205 1702.30480350388 2692.44230962874 1 0 1 0 0
"ee" 436.9958105862 2344.61566041355 2937.25015110629 0 0 1 0 0
"iy" 320.920782155664 2170.36319818274 3024.35263512454 0 1 1 0 0
"ee" 502.49790307604 2130.87051507964 2842.86393170471 0 0 1 0 0
"ue" 419.006616672602 2292.80185255643 3043.1032632111 0 0 1 0 0
"ee" 432.75172341697 2069.64607862147 2829.45286926457 0 0 1 0 0
"iy" 327.670037301947 2591.27819248174 3272.57160420587 0 0 1 0 0
"iy" 449.560031775653 2345.82290852469 3016.94873419826 1 0 1 0 0
"ee" 427.001942979137 2214.64859527854 2922.42023368438 1 0 1 0 0
"iy" 434.46801640872 2232.74123892949 2931.54209259187 0 0 1 0 0
"iy" 417.120726738248 2346.95755638966 3101.57322351416 0 0 1 0 0
"ee" 457.615828069495 2145.85472653202 2907.95647100036 1 0 1 0 0
"ue" 405.754748720718 1914.25871278246 2927.35723846847 0 0 1 0 0
"ee" 478.678672172256 2004.65215725306 2876.06000067685 1 0 1 0 0
"iy" 412.183657841589 1988.58488705067 2785.97679367351 0 1 1 0 0
"ee" 518.470134284116 2088.29592679541 2858.69590736179 0 0 1 0 0
"ee" 482.274476513297 2340.54368259728 3016.54865481062 0 0 1 0 0
"ee" 493.38870472803 2151.98352314617 2935.22119126983 0 0 1 0 0
"iy" 414.494975551356 2189.69347482028 2996.22642053158 0 0 1 0 0
"ee" 438.323892795836 2076.40740762459 2904.25960261854 0 0 1 0 0
"ee" 437.11063048984 2181.79192622384 3003.06439823765 1 0 1 0 0
"ue" 250.039553499064 1964.99044730403 2819.61628940514 0 0 1 0 0
"iy" 339.404767903728 2125.87791051704 3174.4981866237 0 0 1 0 0
"ee" 392.373412539759 2499.23220934281 3010.48191375134 0 0 1 0 0
"iy" 352.67327817433 2438.54399081722 3013.82637952424 0 0 1 0 0
"oe" 440.16448746126 1760.23214491235 2844.3010966109 1 0 1 0 0
"ee" 510.83366797157 1731.68487310455 2596.68510758187 0 0 1 0 0
"iy" 332.35411913662 2424.08761352706 3181.70140337618 0 0 1 0 0
"ee" 518.584237251116 2128.57273547177 2982.49581429077 0 0 1 0 0
"iy" 329.941798866694 2668.50377694969 3233.8455869169 1 0 1 0 0
"ue" 312.882068025538 2103.57926634618 3315.63958419721 0 0 1 0 0
"ue" 352.259162237054 1848.17818223336 3107.07814081966 0 0 1 0 0
"ee" 571.620070766939 2211.187271223 3079.19843941076 1 0 1 0 0
"ee" 479.951326559252 2120.38590955785 3045.11945812655 0 0 1 0 0
"iy" 313.189094967567 2624.82670385578 3371.20451343604 0 0 1 0 0
"iy" 323.303664246653 2586.00667446212 3211.68652481375 0 0 1 0 0
"oe" 465.000232155043 1647.23789968813 2705.40899396634 1 0 1 0 0
"ee" 508.738277817541 2127.31065804304 2888.087318447 0 0 1 0 0
"iy" 472.778230725972 2197.91869911046 3054.29635757074 0 0 1 0 0
"iy" 366.709159734557 2414.47208528844 3059.45564442773 0 0 1 0 0
"iy" 303.215869934646 2536.94724950204 3226.56204461469 1 0 1 0 0
"iy" 333.98373618491 2516.27814596157 3137.84407639634 0 0 1 0 0
"ee" 556.698467757549 2317.47323514359 3191.31455068033 0 1 1 0 0
"iy" 338.955267210471 2512.73320565272 3211.06129092307 0 1 1 0 0
"ee" 529.071729633835 2245.98659162562 2975.59873229355 0 0 1 0 0
"ee" 563.139392753445 2007.09535784028 3080.11322462796 0 0 1 0 0
"ee" 490.197896621145 2123.12841567375 2850.57836133122 0 0 1 0 0
"ee" 462.28446766086 2216.94202055405 3095.18106576025 0 0 1 0 0
"ee" 464.159637859523 2322.44383274935 2872.98619365201 0 0 1 0 0
"iy" 423.673359053441 2171.05006950429 3134.87653447801 0 1 1 0 0
"iy" 343.704125522805 2298.14380461693 3021.4901193555 0 0 1 0 0
"iy" 404.597425441521 2239.39805561045 2895.3851792815 0 0 1 0 0
"ee" 501.716387992841 2158.73482756662 2948.3217188648 0 0 1 0 0
"iy" 415.080293938561 2410.37886732908 2912.66750325345 0 0 1 0 0
"ee" 399.348614297 2188.62209920076 2956.25721853837 0 0 1 0 0
"iy" 382.233519044581 2275.26429391447 3085.28877868632 0 0 1 0 0
"iy" 326.436448391702 2395.32185043531 3015.09699216175 0 0 1 0 0
"iy" 302.751157157083 2622.21863958528 3191.24588000942 0 0 1 0 0
"iy" 427.150998144879 2402.22240466104 3066.95878618433 0 0 1 0 0
"iy" 339.628513042561 2534.52482607349 3038.65174578168 0 0 1 0 0
"ee" 587.518529274239 1837.07872368298 2876.6226578149 0 0 1 0 0
"ee" 419.878703504836 2168.74328107282 3039.10565247737 0 0 1 0 0
"ee" 410.810343094982 2096.79346031235 2959.33574162186 1 0 1 0 0
"iy" 343.069734673138 2097.5649973706 2970.94656159318 1 0 1 0 0
"iy" 312.485080480868 2587.88178538233 3195.73746930451 0 0 1 0 0
"iy" 340.439495971891 2669.24265307967 3211.72351471448 0 1 1 0 0
"ee" 365.803133158661 2400.4704383772 2922.03962309888 0 0 1 0 0
"iy" 273.473067216632 2705.85656511899 3140.52284047748 0 0 1 0 0
"ee" 483.504309692107 2127.27124147343 2871.22810616067 0 0 1 0 0
"ee" 511.099971243173 2494.91379675129 3062.61298943427 0 0 1 0 0
"iy" 259.423137609523 2107.27912920389 3261.90386331862 0 0 1 0 0
"ee" 443.418258815577 2151.36314877177 2959.0981156472 1 0 1 0 0
"iy" 424.757501305517 1895.81692298512 2919.02283827203 0 1 1 0 0
"iy" 337.320197877705 2060.32242617647 2882.36854105432 0 0 1 0 0
"iy" 333.245802787906 2563.57332748963 3105.11485999721 0 0 1 0 0
"ee" 527.087781743708 2201.64010171792 2903.7244379151 0 0 1 0 0
"iy" 366.392009953171 2691.83329220111 3410.48215100412 0 0 1 0 0
"ee" 459.144656926545 2180.82562582704 3084.96577771902 0 0 0 1 0
"ee" 456.90278597494 1901.97095313731 2997.59217865366 0 0 0 1 0
"ee" 450.448900874743 1869.54696859294 3066.3418165397 0 0 0 1 0
"iy" 431.225592475621 2087.62032189271 3010.7136804962 0 1 0 1 0
"ue" 331.895438252006 2399.97407028134 3296.50600613032 0 0 0 1 0
"ee" 448.413289995992 2268.95660885891 3053.18243646264 0 0 0 1 0
"iy" 379.366654439483 1738.43373056569 2715.38616171364 0 0 0 1 0
"ee" 554.292860579465 2191.03656453421 3071.00543772956 0 0 0 1 0
"ee" 509.881252635746 1888.27610994827 3102.05606679104 0 0 0 1 0
"iy" 309.785381535163 2496.34113334887 3116.30000055915 0 0 0 1 0
"ee" 561.252808386521 2103.63590186706 2912.86034020469 1 0 0 1 0
"iy" 358.25006107002 2462.30923254783 3326.15842777118 0 1 0 1 0
"iy" 353.578661372679 2139.47189003812 2864.24090713478 0 0 0 1 0
"ue" 397.732044000771 2246.59144520839 3250.17217699801 0 0 0 1 0
"iy" 404.997350556446 2411.90337529654 3321.23074306718 0 1 0 1 0
"ue" 492.348114508347 1654.90902223655 2884.25459471693 0 0 0 1 0
"ee" 452.150481417326 2360.70016836718 3139.10043160312 0 0 0 1 0
"iy" 438.454249468453 2494.9125068046 3133.53421390069 0 0 0 1 0
"ee" 505.830675821248 2247.47240728059 2957.74714349624 0 0 0 1 0
"iy" 501.85300362713 1972.94420256059 2937.84331952702 0 0 0 1 0
"iy" 445.928432458249 2358.11384457164 3178.17775067001 0 0 0 1 0
"ue" 341.450030828914 2212.39981536506 3203.28532848876 0 0 0 1 0
"ee" 509.604779765609 2160.44283492005 3124.23438811913 0 0 0 1 0
"iy" 396.089674266874 2495.09086446562 3225.97063356559 0 0 0 1 0
"iy" 492.863816098596 2396.11761075941 3192.70887593682 0 1 0 1 0
"iy" 371.907611658933 2255.94263577737 2959.92807495079 0 0 0 1 0
"iy" 361.183788453688 2642.06385253775 3200.60199967096 0 0 0 1 0
"iy" 351.169015697131 2445.25664625605 3047.18310458359 0 0 0 1 0
"iy" 372.501884777163 2191.39030955306 3032.29784526229 0 0 0 1 0
"iy" 502.345809312513 2295.62602696958 3200.58332146341 0 1 0 1 0
"iy" 361.261396422528 2279.02400776532 3173.63724764028 0 0 0 1 0
"iy" 394.550056923357 1817.84148793275 3025.7542034266 0 1 0 1 0
"ee" 432.318943629376 2123.26480298797 2890.66659602209 0 0 0 1 0
"iy" 327.529871070343 2628.42849818125 2992.61602700688 0 0 0 1 0
"ee" 375.387449528374 2392.96223941853 3324.18808773513 0 1 0 1 0
"iy" 393.064350283343 2042.39032901833 3216.49702715053 0 0 0 1 0
"ee" 500.396472881775 2495.97683553679 3224.75607230928 0 0 0 1 0
"iy" 410.82109799229 2311.65135608886 3155.24130534757 0 0 0 1 0
"iy" 413.566975218058 1963.09696932231 2893.6013368934 0 0 0 1 0
"iy" 323.246699556168 2454.7357921575 3300.94690868879 0 0 0 1 0
"ee" 569.966980317836 2087.54068946597 2882.55999336401 0 0 0 1 0
"ee" 534.719692987405 2260.6836383545 3074.30648652424 0 0 0 1 0
"ee" 405.488790710821 2209.70148335057 3155.69746664 1 0 0 1 0
"ee" 464.921474318801 2211.16496015893 3071.65296251665 0 0 0 1 0
"iy" 396.003251629084 2383.97013286401 3004.81907915091 0 0 0 1 0
"ee" 408.614671914299 2426.50036941445 3180.05005178071 0 0 0 1 0
"iy" 474.99016877205 2145.27221381427 2924.7832066529 0 0 0 1 0
"ee" 466.598306987734 2404.09266262445 2817.99258803605 0 0 0 1 0
"iy" 404.724375739345 2398.93783808718 3190.43877882967 0 0 0 1 0
"iy" 398.760778449833 2355.93791565105 3043.52164024787 0 0 0 1 0
"ue" 306.615685957695 2521.34055604359 3284.10315784643 0 0 0 1 0
"ee" 572.214572962051 2087.49272928616 2979.39917785051 0 0 0 1 0
"ee" 537.792582507128 2316.73697509802 3413.34757776643 0 0 0 1 0
"ue" 342.556844050288 1806.33102961529 3297.94715870196 0 0 0 1 0
"ee" 465.550975205788 2120.41758402788 3018.93886397362 0 1 0 1 0
"ee" 492.573786389952 2333.5051223625 2964.24017094578 0 0 0 1 0
"ee" 516.874814990545 2248.84391903541 3024.70218173967 0 0 0 1 0
"ue" 456.049464940981 2188.2260389332 3375.70589146947 0 0 0 1 0
"ee" 521.44759656805 2371.3172547864 3168.95973187309 0 0 0 1 0
"iy" 471.837387281647 2361.49918272658 3176.5873323141 0 0 0 1 0
"iy" 438.079786041685 2307.24751118867 3004.42184125857 0 0 0 1 0
"iy" 495.919426835532 2005.25702250793 2908.32908547034 0 0 0 1 0
"ue" 314.809264120801 1973.79756435352 3331.85652963334 0 0 0 1 0
"ue" 390.317293945613 1964.77470758297 3244.60931431773 0 0 0 1 0
"oe" 486.385644063248 2007.89855805265 3160.96347174252 0 1 0 1 0
"ue" 453.350471083253 1885.03412765544 3143.05304118111 0 0 0 1 0
"ee" 563.382820105175 1903.98597856825 3029.16033998567 0 0 0 1 0
"ee" 524.440275793756 1908.93956010778 2966.87718186434 0 0 0 1 0
"ee" 512.931409016752 2331.66627532047 3261.04471557416 0 0 0 1 0
"iy" 437.103638070786 2415.95423395395 3290.61065431113 0 0 0 1 0
"iy" 395.706008144461 2043.90306932482 3422.26204565247 1 0 0 1 0
"ee" 492.082210753116 2300.83695563724 3185.62468138579 0 0 0 1 0
"ee" 395.869039935903 2278.94349274156 2908.86045238963 0 0 0 1 0
"oe" 461.97305008242 1666.58277563282 3161.81661519263 1 0 0 1 0
"ue" 358.380019676517 1845.22731548425 3313.53813760099 0 0 0 1 0
"ee" 441.375091726484 2199.54079520229 3096.67639375002 1 0 0 1 0
"iy" 413.213825288497 2125.5709400582 2966.66140724483 0 1 0 1 0
"iy" 388.457493214645 2366.79846605499 3076.03139423767 0 1 0 1 0
"iy" 394.48976420818 2499.92809745883 3602.30490808113 0 0 0 1 0
"iy" 355.124313137706 2278.76919036356 2900.21699462702 1 0 0 1 0
"ee" 541.434338218103 2175.08965029129 3057.11720392215 0 0 0 1 0
"iy" 391.56847508238 2609.63737744134 3288.6122485682 0 0 0 1 0
"oe" 507.319046391353 1758.05734972335 3203.6045073029 0 0 0 1 0
"iy" 403.705848868323 2452.80136721799 3034.31048801229 0 0 0 1 0
"ue" 393.011967084417 1980.90950971135 2876.34626593095 1 0 0 1 0
"iy" 475.265251612992 2259.74124959882 2864.74386426445 0 0 0 1 0
"oe" 540.902675210001 1649.0480604648 3127.17365887116 0 0 0 1 0
"ee" 424.929966466789 2103.57133424768 2986.43991112847 0 0 0 1 0
"iy" 510.999323749245 1938.30768171296 3043.54356982298 0 0 0 1 0
"ue" 434.729478896333 1900.44526908677 2831.43908978693 1 0 0 1 0
"iy" 326.280819713635 2371.54633033282 3226.11836821975 0 0 0 1 0
"iy" 435.124336396256 2453.41093679875 3261.07025844807 0 0 0 1 0
"ee" 460.655523801446 2322.83725722583 3131.76620153087 0 1 0 1 0
"iy" 448.116453644155 2449.39097376038 3003.16059831323 0 0 0 1 0
"iy" 449.27701808648 2379.56399565001 3257.04314456602 0 0 0 1 0
"iy" 464.701290992467 1848.56775014995 3062.09429766795 0 0 0 1 0
"ee" 514.504009517302 2156.27762762097 3063.88298239624 0 0 0 1 0
"ue" 361.177435643907 2247.61699070679 3155.6396035522 0 1 0 1 0
"ee" 530.866049783016 2338.89667714319 3114.64146690516 0 0 0 1 0
"iy" 425.382926678893 2305.5843266099 2818.53871311685 1 0 0 1 0
"iy" 358.985624303446 2646.99706705814 3354.86464254257 0 1 0 1 0
"oe" 593.832263805865 1742.2922388672 3104.48744948989 0 0 0 1 0
"ee" 470.200836636203 1794.53451088724 3154.92943778709 0 0 0 1 0
"ee" 496.68667165197 2198.90280641491 3092.22134407243 0 0 0 1 0
"iy" 364.371473894077 1929.32482048835 2952.83667608476 0 0 0 1 0
"ue" 429.155587829843 1979.13128342752 3316.10294624828 0 0 0 1 0
"ue" 416.706630390797 2225.40616670736 3004.53074924699 0 0 0 1 0
"ee" 388.427629788263 2008.57288272611 2896.68450657629 1 0 0 1 0
"ee" 436.257700119016 2286.24434528119 3108.99374019459 0 0 0 1 0
"ee" 457.044380398195 2529.07397633757 3254.77606404326 0 0 0 1 0
"iy" 383.153066574093 2384.60092500874 3119.95487816093 1 0 0 1 0
"iy" 350.281909473207 2304.92206701398 3153.63877450331 0 0 0 1 0
"ue" 355.681942051625 2093.10568222497 3190.55336605819 0 0 0 1 0
"oe" 506.076036766245 1710.06404498905 3280.02108935708 0 0 0 1 0
"ee" 504.484944225586 1871.08175505907 2989.60765000843 0 1 0 1 0
"ue" 344.317937811414 2140.85404447056 2945.10857632723 0 0 0 1 0
"ue" 389.136480974602 2034.96061094675 3228.96230794806 0 0 0 1 0
"oe" 464.943319563595 1680.6756504227 2977.54308388651 0 0 0 1 0
"ee" 587.353792847873 2159.5842522451 3105.76187812571 0 0 0 1 0
"ee" 441.691673980756 2423.04661576695 3152.55613438686 0 0 0 1 0
"iy" 401.482507587095 2196.0957339179 2784.35431846261 0 1 0 1 0
"iy" 379.709775508579 2503.32670469367 3189.97399067914 0 0 0 1 0
"iy" 402.955485296385 2693.78846035095 3524.26891496398 0 1 0 1 0
"ue" 393.786814186665 1909.78475830692 3341.2163664033 0 0 0 1 0
"iy" 417.219471246485 2419.71311647358 3105.01678033778 1 0 0 1 0
"iy" 407.546224012517 2435.58376093002 3088.91870074223 0 0 0 1 0
"iy" 454.015560373227 2464.69310467981 3248.3231858108 0 1 0 1 0
"iy" 467.409233793621 2103.10988460869 3063.79177721968 1 0 0 1 0
"iy" 514.865151186646 2123.27859489484 3020.98133898558 0 0 0 1 0
"ee" 396.779246494549 2215.47474569655 2964.45913430085 0 0 0 1 0
"iy" 510.198030270953 2272.44987513036 3114.36212890978 0 0 0 1 0
"ue" 360.781341881291 2162.56502271911 3152.08762505417 0 0 0 1 0
"ue" 428.964917424725 2110.44353770064 2961.61494045389 0 0 0 1 0
"iy" 362.476944680074 2425.50820334475 3139.57592817506 0 0 0 1 0
"ee" 464.464309736003 2270.00222392806 3030.97367075206 0 0 0 1 0
"iy" 400.685189641286 2403.25783433349 3194.71378101744 0 0 0 1 0
"iy" 406.25982055026 2092.66406690802 3130.36357757065 0 0 0 1 0
"ee" 474.553055944804 2062.44746599144 3050.61482362599 0 0 0 1 0
"oe" 570.270746128915 1645.34464697327 3240.83724329262 0 0 0 1 0
"ee" 423.166398112793 2209.25259357949 3057.31480676863 1 0 0 1 0
"ee" 467.880110936594 2404.82128602059 3077.75852747162 0 0 0 1 0
"iy" 345.974913706682 2541.16143422302 3319.57380333196 0 0 0 1 0
"ee" 465.253314041161 2443.56808715178 3167.60292170993 0 0 0 1 0
"ee" 494.818279868337 2145.22259529717 3136.26245960847 0 0 0 1 0
"iy" 373.982919326756 2196.57799178496 3327.71205742389 0 0 0 1 0
"iy" 479.88660445692 2067.29597751363 3091.65848375457 0 0 0 1 0
"ee" 507.692881974772 2160.39603691001 3125.6357950851 1 0 0 1 0
"iy" 473.893244522457 2127.61633154131 3055.38710012009 0 0 0 1 0
"iy" 325.747703901428 2299.62335545526 3138.13641723009 1 0 0 1 0
"iy" 354.48455176017 2375.79725572416 3141.7184499278 0 0 0 1 0
"iy" 486.70794500934 2242.89176482327 3066.99210803625 0 1 0 1 0
"ue" 330.199347664177 1947.71250127785 2955.84020092514 1 0 0 1 0
"iy" 473.748604801755 2164.01566044704 2941.84573508909 0 0 0 1 0
"ee" 378.778174570074 1779.6024641779 3057.66245291706 0 0 0 1 0
"ee" 424.845702022428 1956.85998773592 2983.85104024951 0 0 0 1 0
"iy" 354.894565264835 2499.825720674 3387.69599994567 0 1 0 1 0
"iy" 482.022714016758 1996.63784922474 3078.1060923851 0 0 0 1 0
"oe" 487.713333550618 1743.34109912483 3114.33554666937 0 0 0 1 0
"iy" 428.861997979463 2684.06468152998 3342.40574738498 0 0 0 1 0
"iy" 438.027340792154 2319.85590933448 3094.06697813754 0 0 0 1 0
"ee" 522.239670644503 2415.26718687998 3352.30697523764 0 0 0 1 0
"iy" 385.980871678181 2537.13821172113 3160.00339454345 0 0 0 1 0
"ee" 545.770765511207 2378.40265429254 3159.22678949946 1 0 0 1 0
"ee" 545.534420854515 2442.28959126858 3275.81678525081 0 0 0 1 0
"iy" 396.25680131657 2326.95018839526 2954.0812929361 0 0 0 1 0
"iy" 451.05283411706 2453.75687892396 3231.13430179554 0 0 0 1 0
"ee" 490.174783572064 2146.36950571649 3066.30063587108 0 0 0 1 0
"iy" 397.487328098849 2373.30829611935 3034.58712356577 0 0 0 1 0
"ee" 490.642654967 2092.37422054146 2993.11558725382 1 0 0 1 0
"iy" 454.245799902663 2374.55060944406 3182.90303541965 0 0 0 0 1
"oe" 504.225549296722 1993.02893346898 2734.3665665547 0 0 0 0 1
"ee" 472.097293285752 2445.41080635528 3158.06060567212 0 0 0 0 1
"iy" 471.116295637473 2385.59191920044 2947.81833771562 0 0 0 0 1
"ee" 541.713427695999 2493.66212386616 2806.68616562358 0 0 0 0 1
"iy" 387.046477442454 2418.73003079283 3173.89604137676 0 0 0 0 1
"iy" 369.96366035765 2474.53973236235 3266.35129039063 1 0 0 0 1
"iy" 386.371860695128 2280.40901427694 3159.64556134253 0 0 0 0 1
"ue" 403.521888355832 2348.21406208523 3048.49391096501 0 0 0 0 1
"iy" 502.17571028162 2084.57351339161 2875.38115129623 0 0 0 0 1
"iy" 539.303915047795 2039.75819258978 2859.88987368339 0 0 0 0 1
"iy" 386.313466935979 2646.9132717892 3176.30533389047 0 1 0 0 1
"iy" 478.102710254728 2460.43540790752 3146.80052400708 0 0 0 0 1
"ee" 547.338994161381 2047.31772587327 3096.50411360163 0 0 0 0 1
"iy" 447.436879361181 2203.03777471363 3134.04629990523 0 0 0 0 1
"iy" 399.693123358165 2455.32563548353 3281.02460836795 0 0 0 0 1
"iy" 421.024732213505 2269.51801333008 2974.52971827975 1 0 0 0 1
"iy" 430.897068887259 2749.30180937984 3293.71993804808 0 0 0 0 1
"iy" 505.522430677253 1786.67505793338 2782.44249907481 0 0 0 0 1
"ee" 473.972511449642 2111.52474722473 3004.37292915982 0 0 0 0 1
"ee" 459.396354135701 2367.7424037576 3100.69071634205 0 0 0 0 1
