"PHON","F1","F2","F3","T1","T2","v","v.1","v.2","v.3","v.4","v.5","v.6","v.7","v.8","v.9","v.10","v.11","v.12","v.13","v.14","v.15","v.16","v.17","v.18"
"ee",502.813968364102,1994.26245799719,3010.39351549582,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",474.500800708261,2313.90267397886,2908.62431734737,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",423.561115192517,2199.36737304434,3020.84022551501,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",869.36698351446,1593.99640358685,2829.45911282079,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",940.26747872064,1734.53869524644,2824.8541986162,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",362.933288125308,2481.60720331051,2978.66703778904,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"oe",522.291347140176,1856.41136563092,2798.82425957534,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",506.077717087321,2224.0950317577,3022.52265740408,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",817.121723461322,1713.17945876634,2599.03684844578,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",490.912703499391,2103.83814204668,3094.61033478642,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",568.361886021666,2161.697969864,2676.08979590793,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",866.83144174615,1716.46986886005,2774.148995863,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",457.323069170891,2414.73698183949,3247.5243454535,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",465.705617933644,2289.54732565901,3145.85256743648,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",861.861298102545,1710.66511730598,2589.52146877042,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",458.045274063315,2530.2414019604,3100.10603099429,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",324.309325845478,2528.73267571982,3157.15610803805,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",389.275307149435,2112.87274724042,2958.28125124675,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",426.176256487712,2848.5100132167,3287.0132636637,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",486.850563271202,2453.1183897571,3162.65490051001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",666.38641277299,2199.95586149963,3050.57016891244,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ue",492.559083617989,2003.74468602273,2930.19252247197,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",874.346578330298,1626.98075554489,3188.7886427557,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",783.279662817378,1836.82790015139,2783.43025621764,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",496.144841894747,2261.29567342699,3082.33386030557,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",528.847204897477,2237.12769121384,3131.87372953763,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",496.687092834314,2188.16822770363,3158.97368465251,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",622.174642273463,2161.23351529091,3031.76310599071,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",528.204285298167,2344.69705260442,3053.78690484153,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",644.127279779205,2056.8807202371,3224.957276085,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",518.464305480434,2300.20804638862,3154.0306301964,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",452.566276350094,2194.06164926027,3078.27175623184,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",422.217401432688,2430.18202465067,3005.48627442747,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",458.090135039601,2043.67394820847,3029.89270719534,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",774.960531169246,1696.83402643101,2827.20685233542,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",419.449848745404,2227.23456787366,2969.01636171053,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",550.000901742527,2072.2461728657,3135.77533453539,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"oe",447.676906643868,1843.54956673721,2769.99901021958,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ue",380.976833178608,2175.81607093152,3076.74570642984,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ue",521.396636159953,1772.57874554663,2660.55039667668,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",410.009093015855,2438.58730592561,3179.89346742627,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",498.404392386823,2407.46522201648,3289.8645346158,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",806.773841971148,1698.27536878008,2627.02805466799,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",422.219339007776,2484.08459899467,3060.11043473491,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",419.345320793754,2594.6965404101,3264.56737061633,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",431.854439971651,2467.60785627638,3138.11085184545,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",396.808194668023,2483.85118380897,2998.78836892625,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",446.508610707031,2734.1315261053,3362.7381319993,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",378.930665629364,2587.9291619286,3137.12982159106,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",818.644658791886,1748.04175453259,2796.87598284084,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",591.320342506062,1787.23542413288,3197.03915555824,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",489.725246835112,2200.95942133276,3106.18683498674,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",454.475488603581,2759.86455395932,3408.78705472132,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",533.463343432465,2344.27672259654,3037.45309708716,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ue",458.60534620661,1890.3047503141,2583.8827848526,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee",506.385910276407,1739.23419897929,2776.93979366514,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"oe",599.680899061934,1589.522952758,2726.42092487994,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",478.559176389488,1787.11360900004,2700.99861669547,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ue",557.349209195909,2127.21210653222,2917.90470910594,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iy",417.019345315873,2659.69168108994,3416.68106419754,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
