"PHON" "F1" "F2" "F3" "T1" "T2" "v" "v.1" "v.2" "v.3" "v.4" "v.5" "v.6" "v.7" "v.8" "v.9" "v.10" "v.11" "v.12" "v.13" "v.14" "v.15" "v.16" "v.17" "v.18" "v.19" "v.20" "v.21" "v.22" "v.23" "v.24" "v.25"
"iy" 379.681505845085 2218.98940795859 2820.23314519937 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ee" 509.731823258062 2332.74100813678 3099.10030150576 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ee" 459.830534169029 2567.54172661127 3081.86928293397 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 332.112113358225 2806.50968707083 3091.09522950739 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 323.510311456736 2001.93787215496 2998.55646319185 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 323.72559538744 2302.9932361771 3083.19836286838 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ee" 454.79189730327 2050.52463115311 2800.08404197898 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"oe" 367.552900311791 1794.70352237116 2682.07339222825 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 344.243536881041 2533.02613818024 3167.52333971204 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 420.662271098686 2628.10962110855 2987.97684505067 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 391.765262533022 2152.72084276534 2718.11620056155 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ee" 526.718854749705 2220.89405838216 2840.05322333273 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ee" 452.474920288145 2410.61839967344 3154.14411078204 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 320.173135117562 2126.46872065395 2973.54850307711 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ee" 419.857992497116 2160.87690321958 2926.87081279189 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ee" 543.027875470595 2200.40070063874 2852.45720146887 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 303.333459784387 2556.98546560929 3217.36581813852 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ee" 551.739655041839 1874.77670126696 3027.83588486401 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 446.702678974104 2198.77504025031 3181.22131903994 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 372.35484421465 2283.77061166594 2872.16927599265 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 381.075069683518 2542.55258765758 3139.53965325964 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 340.190997440068 2527.29993715409 2915.78320980591 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"oe" 599.056613821327 1497.44261303404 2739.44917197719 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ee" 550.782909807819 2203.14383412305 2955.68435629698 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 373.969477307079 2279.72267073653 2831.90841791711 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 397.638592895477 2363.80922337084 3102.36574594258 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 405.062714502049 2094.39166527092 3070.2780697303 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ee" 470.277989665702 2175.24643274168 2987.17185104656 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ee" 389.607019142618 2177.86363071068 2882.74191098516 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 351.598768146607 2657.52965311053 3028.11620013693 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 426.427299018619 2354.09061625205 3095.11108743064 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 464.027822922283 2164.69894405307 2978.72203138354 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"oe" 481.549318677012 1547.80832751722 2783.71614478058 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"oe" 541.276510521941 1351.09922903793 2678.37930853117 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ue" 300.2543773712 2208.6060691766 2949.98591056997 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ue" 290.368491478066 1957.71997437422 3034.27104696414 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ee" 441.253430832203 1963.51048097 2760.09054728274 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 443.30363598409 2261.90267333691 2902.85103591979 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ue" 292.874929038664 2178.49680517693 3049.04745566612 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ue" 313.30036212763 1920.79724721709 2755.65287134412 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ee" 590.524282910068 2092.59100873063 2869.87423168436 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 434.261117996091 2490.84837605148 3160.40685937131 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 452.553568618342 2385.14492049415 2927.28420123413 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 307.924252038112 2591.77873694432 3210.35194910118 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 354.51922693009 2475.59120399865 2874.96483758418 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 344.639852572972 1943.96822162384 2757.1433419257 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 294.005755368111 2322.26400308032 3020.57099308755 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ee" 505.550936932858 2182.58366991377 3136.02057768608 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 328.006534177231 2549.46766520242 2988.61667882102 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 381.842076748704 2019.77487122337 2754.22806154382 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ee" 503.80210123243 2276.19459626485 2888.54591020326 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ue" 435.689949597494 1674.40136262564 2694.87882184716 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ue" 444.082622103571 1506.63062002064 2706.07923951265 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ee" 468.365430285312 1964.82549569089 3008.19304786781 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 304.147230159141 2670.75137806407 3180.14445213219 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 317.642384136894 2304.27616826898 2948.01349084657 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ee" 568.940321338512 2285.128125373 2954.12980430758 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 333.680315994534 2238.10924351555 3001.80150848918 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"oe" 406.791706241597 1679.14887559156 2638.16632905302 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ue" 362.26122196058 2111.58910527285 2568.62247519029 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ee" 538.471749633281 2449.97633413609 3042.62343012937 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 317.949398058813 2682.72505281865 3321.48853844638 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 286.50948833338 2466.27842421909 3097.2287728275 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 323.156661233199 2225.93077871429 2938.62536157258 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ee" 468.013364178348 2370.78175178507 3147.3163809818 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 448.702004383501 2655.81790002525 3151.44247931393 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 459.701766145592 2048.36766073299 2797.38296069688 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 280.86727942664 2700.64947412755 2953.63732450065 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 360.557010924514 2686.37651544469 3107.77076967704 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"oe" 478.374127024192 1883.28130147706 2940.92201014804 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 290.415903638228 2713.05400604882 3136.55106416391 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ee" 561.557799398114 1733.40800317586 3094.48189676928 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 460.967254049288 2405.54762067794 3215.39199877489 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"oe" 427.349260368205 1702.30480350388 2692.44230962874 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ee" 436.9958105862 2344.61566041355 2937.25015110629 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 320.920782155664 2170.36319818274 3024.35263512454 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ee" 502.49790307604 2130.87051507964 2842.86393170471 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ue" 419.006616672602 2292.80185255643 3043.1032632111 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ee" 432.75172341697 2069.64607862147 2829.45286926457 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 327.670037301947 2591.27819248174 3272.57160420587 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 449.560031775653 2345.82290852469 3016.94873419826 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ee" 427.001942979137 2214.64859527854 2922.42023368438 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 434.46801640872 2232.74123892949 2931.54209259187 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 417.120726738248 2346.95755638966 3101.57322351416 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ee" 457.615828069495 2145.85472653202 2907.95647100036 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ue" 405.754748720718 1914.25871278246 2927.35723846847 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ee" 478.678672172256 2004.65215725306 2876.06000067685 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 412.183657841589 1988.58488705067 2785.97679367351 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ee" 518.470134284116 2088.29592679541 2858.69590736179 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ee" 482.274476513297 2340.54368259728 3016.54865481062 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ee" 493.38870472803 2151.98352314617 2935.22119126983 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 414.494975551356 2189.69347482028 2996.22642053158 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ee" 438.323892795836 2076.40740762459 2904.25960261854 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ee" 437.11063048984 2181.79192622384 3003.06439823765 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ue" 250.039553499064 1964.99044730403 2819.61628940514 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 339.404767903728 2125.87791051704 3174.4981866237 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ee" 392.373412539759 2499.23220934281 3010.48191375134 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 352.67327817433 2438.54399081722 3013.82637952424 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"oe" 440.16448746126 1760.23214491235 2844.3010966109 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ee" 510.83366797157 1731.68487310455 2596.68510758187 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 332.35411913662 2424.08761352706 3181.70140337618 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ee" 518.584237251116 2128.57273547177 2982.49581429077 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 329.941798866694 2668.50377694969 3233.8455869169 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ue" 312.882068025538 2103.57926634618 3315.63958419721 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ue" 352.259162237054 1848.17818223336 3107.07814081966 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ee" 571.620070766939 2211.187271223 3079.19843941076 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ee" 479.951326559252 2120.38590955785 3045.11945812655 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 313.189094967567 2624.82670385578 3371.20451343604 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 323.303664246653 2586.00667446212 3211.68652481375 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"oe" 465.000232155043 1647.23789968813 2705.40899396634 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ee" 508.738277817541 2127.31065804304 2888.087318447 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 472.778230725972 2197.91869911046 3054.29635757074 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 366.709159734557 2414.47208528844 3059.45564442773 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 303.215869934646 2536.94724950204 3226.56204461469 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 333.98373618491 2516.27814596157 3137.84407639634 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ee" 556.698467757549 2317.47323514359 3191.31455068033 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 338.955267210471 2512.73320565272 3211.06129092307 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ee" 529.071729633835 2245.98659162562 2975.59873229355 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ee" 563.139392753445 2007.09535784028 3080.11322462796 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ee" 490.197896621145 2123.12841567375 2850.57836133122 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ee" 462.28446766086 2216.94202055405 3095.18106576025 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ee" 464.159637859523 2322.44383274935 2872.98619365201 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 423.673359053441 2171.05006950429 3134.87653447801 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 343.704125522805 2298.14380461693 3021.4901193555 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 404.597425441521 2239.39805561045 2895.3851792815 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ee" 501.716387992841 2158.73482756662 2948.3217188648 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 415.080293938561 2410.37886732908 2912.66750325345 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ee" 399.348614297 2188.62209920076 2956.25721853837 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 382.233519044581 2275.26429391447 3085.28877868632 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 326.436448391702 2395.32185043531 3015.09699216175 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 302.751157157083 2622.21863958528 3191.24588000942 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 427.150998144879 2402.22240466104 3066.95878618433 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 339.628513042561 2534.52482607349 3038.65174578168 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ee" 587.518529274239 1837.07872368298 2876.6226578149 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ee" 419.878703504836 2168.74328107282 3039.10565247737 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ee" 410.810343094982 2096.79346031235 2959.33574162186 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"iy" 343.069734673138 2097.5649973706 2970.94656159318 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
