VOWEL	F1	F2	F3	LEFT	RIGHT	PO-U CO-U	UV-S	UV-U	PHONEME	LONG
e	734	1448	3415	n	q	1 0	1	1	i	0
a	896	1158	2635	m	L	0 1	0	0	a	0
u	416	1656	2561	L	n	1 1	0	0	u	0
u	434	1657	2055	n	t	1 1	0	0	u	0
a	654	1857	2753	k	N	0 0	0	0	a	0
e	674	1545	2647	N	L	0 0	0	1	i	0
u	336	1506	3088	L	s	1 1	0	0	u	0
o	601	1081	2910	s	b	1 0	1	1	u	0
b	821	1008	2499	o	m	0 0	0	1	a	0
i	373	1952	2626	m	L	0 1	0	0	i	1
u	423	1146	2847	L	x	1 0	0	0	u	0
a	870	1424	2987	x	L	0 1	0	0	a	1
b	796	1469	2986	L	m	1 0	0	1	a	0
i	353	1958	2888	m	s	0 1	0	0	i	0
a	731	1660	3055	s	x	1 0	0	0	a	1
i	423	1801	2494	p	l	0 1	0	0	i	0
e	694	1560	3222	l	s	1 0	0	1	i	0
b	791	1250	2678	s	r	1 0	1	1	a	1
u	451	1193	2588	r	t	0 1	0	0	u	0
a	818	1455	3091	t	v	1 0	0	0	a	0
o	630	1041	3161	v	q	0 0	1	1	u	0
a	496	1919	2596	t	L	1 1	0	0	a	0
i	426	1779	2254	L	m	1 0	0	0	i	0
a	611	1579	2843	m	n	0 1	0	0	a	0
u	366	1493	2258	n	t	1 1	0	0	u	0
a	583	1439	1851	t	n	1 1	0	0	a	0
e	761	1566	3751	n	q	1 0	1	1	i	0
b	971	1164	2838	x	f	0 0	0	1	a	0
i	344	1669	3036	f	n	0 1	0	0	i	0
e	743	1354	3160	n	q	1 0	1	1	i	0
i	403	2079	2223	p	N	0 0	0	0	i	0
a	633	1704	1738	N	s	0 1	0	0	a	0
u	393	1827	2485	s	n	1 1	0	0	u	0
u	385	1548	2740	n	t	1 1	0	0	u	0
a	675	1669	3120	t	m	1 0	0	0	a	0
a	653	1728	3113	m	t	0 1	0	0	a	0
u	455	1724	3013	t	m	1 0	0	0	u	0
a	546	1573	3357	m	x	0 0	0	0	a	0
i	404	2415	3449	k	N	0 0	0	0	i	0
e	692	1567	3253	n	r	1 0	1	1	i	0
i	535	1434	3129	r	s	0 1	0	0	i	0
a	583	1591	3223	s	v	1 0	0	0	a	0
a	785	1477	3191	v	x	0 0	0	0	a	1
i	542	1503	3277	r	s	1 1	0	0	i	0
a	488	1751	3201	s	m	1 0	0	0	a	0
i	413	2233	3195	m	x	0 0	0	0	i	0
i	370	2177	3630	t	m	1 0	0	0	i	0
b	876	1417	3247	s	t	1 0	0	1	a	0
u	416	1341	2789	t	s	1 1	0	0	u	1
i	383	2147	3287	n	s	1 1	0	0	i	0
i	360	2594	3456	k	N	0 0	0	0	i	0
o	633	1478	3400	t	n	1 0	0	1	u	1
a	941	1543	3193	t	m	1 0	0	0	a	1
a	866	1581	3305	m	t	0 1	0	0	a	1
o	688	1323	3186	t	l	1 0	0	1	u	0
i	455	2028	3325	l	x	1 0	0	0	i	0
a	774	1794	3315	x	N	0 0	0	0	a	0
a	689	1935	3358	N	L	0 1	0	0	a	0
a	573	1768	3472	L	n	1 1	0	0	a	0
e	652	1359	3286	n	m	1 0	0	1	i	0
u	591	1042	2962	m	t	0 1	0	0	u	0
u	349	974	3147	q	L	0 1	0	0	u	0
e	777	1111	3521	L	s	1 0	0	1	i	0
b	676	1081	3331	s	q	1 0	1	1	a	0
b	847	1142	3052	q	f	0 0	0	1	a	0
i	366	2484	2958	n	t	1 1	0	0	i	1
a	565	1943	3412	s	p	1 0	0	0	a	0
i	393	2214	3298	p	N	0 0	0	0	i	0
i	426	2041	3708	N	s	0 1	0	0	i	0
a	881	1604	3578	n	p	1 0	0	0	a	1
e	715	1370	3054	p	t	0 0	0	1	i	0
o	772	968	3186	t	L	1 0	0	1	u	0
a	872	1756	3388	x	N	0 0	0	0	a	0
a	757	1977	3277	N	l	0 1	0	0	a	0
a	646	1914	3399	l	s	1 1	0	0	a	0
u	354	1670	3162	s	t	1 1	0	0	u	0
o	805	986	3058	x	n	0 0	0	1	u	0
i	411	2002	2963	n	t	1 1	0	0	i	0
a	563	1882	3108	t	m	1 0	0	0	a	0
u	426	1656	3249	n	t	1 1	0	0	u	0
u	400	1159	3041	x	L	0 1	0	0	u	0
a	715	1722	3229	x	p	0 0	0	0	a	0
u	427	996	3384	p	n	0 1	0	0	u	1
i	355	2082	3218	n	s	1 1	0	0	i	0
a	773	1661	3241	s	t	1 1	0	0	a	1
u	421	1944	3177	s	l	1 1	0	0	u	0
i	404	2086	3412	l	s	1 1	0	0	i	0
u	371	1680	3210	s	t	1 1	0	0	u	0
e	731	1544	3389	n	q	1 0	1	1	i	0
b	807	1111	3369	q	p	0 0	0	1	a	0
o	593	1078	3476	p	q	0 0	1	1	u	0
i	410	2275	3497	t	m	1 0	0	0	i	0
i	418	1986	3228	m	s	0 1	0	0	i	0
b	869	1454	3491	s	t	1 0	0	1	a	0
u	459	1557	3531	t	s	1 1	0	0	u	1
i	347	2024	3884	s	n	1 1	0	0	i	0
e	782	1310	3398	n	q	1 0	1	1	i	0
a	477	1922	3157	t	s	1 1	0	0	a	0
a	629	1817	3459	s	x	1 0	0	0	a	0
i	353	2418	3233	x	l	0 1	0	0	i	0
u	410	1462	3390	l	l	1 1	0	0	u	0
i	336	2150	3380	l	s	1 1	0	0	i	0
a	574	1920	3156	s	t	1 1	0	0	a	0
u	430	852	3626	x	p	0 0	0	0	u	0
e	697	1182	3215	p	n	0 0	0	1	i	0
a	498	1913	3217	n	v	1 0	0	0	a	0
i	397	2183	3060	v	k	0 0	0	0	i	0
u	379	1742	3002	l	l	1 1	0	0	u	0
a	462	1880	3269	s	t	1 1	0	0	a	0
i	382	2029	3275	t	m	1 0	0	0	i	0
i	345	2069	3124	m	s	0 1	0	0	i	0
b	824	1403	3321	s	t	1 0	0	1	a	0
o	438	1462	3389	t	t	1 0	0	1	u	0
a	886	1590	3375	t	m	1 0	0	0	a	1
a	892	1470	3527	m	t	0 1	0	0	a	1
i	336	2228	3782	t	n	1 1	0	0	i	1
e	780	1519	3559	n	r	1 0	1	1	i	0
b	1024	1396	3479	r	p	0 0	0	1	a	0
o	699	1132	3379	p	q	0 0	1	1	u	0
i	405	2317	3278	t	m	1 0	0	0	i	0
i	423	2157	2926	m	s	0 1	0	0	i	0
b	1034	1492	3199	s	t	1 0	0	1	a	0
o	723	1123	3027	t	t	1 0	0	1	u	0
b	1010	1271	3152	t	t	1 0	0	1	a	0
a	766	1593	3346	q	s	0 1	0	0	a	0
a	566	1974	3435	s	m	1 0	0	0	a	0
a	791	1712	3240	m	l	0 1	0	0	a	0
e	507	1581	3131	l	r	1 0	1	1	i	0
u	391	1234	2936	q	s	0 1	0	0	u	0
a	490	1843	3583	s	t	1 1	0	0	a	0
e	686	1472	3498	t	q	1 0	1	1	i	0
i	401	2021	2906	t	m	1 0	0	0	i	0
i	373	1962	3213	m	s	0 1	0	0	i	0
b	904	1449	3386	s	t	1 0	0	1	a	0
u	459	1557	3360	t	s	1 1	0	0	u	1
i	320	2221	3714	s	n	1 1	0	0	i	0
a	516	1801	3613	s	p	1 0	0	0	a	0
a	870	1672	3434	t	s	1 1	0	0	a	1
b	1072	1476	3505	x	q	0 0	1	1	a	0
a	902	1592	3644	q	g	0 0	0	0	a	0
u	424	1034	3680	g	x	0 0	0	0	u	0
a	503	1887	3099	t	L	1 1	0	0	a	0
e	736	1345	3271	n	m	1 0	0	1	i	0
i	428	2128	3534	m	x	0 0	0	0	i	0
i	459	2284	3512	x	N	0 0	0	0	i	0
e	517	1714	3439	N	L	0 0	0	1	i	0
a	492	1896	3651	L	n	1 1	0	0	a	0
e	693	1512	3568	n	r	1 0	1	1	i	0
i	388	2153	3547	n	s	1 1	0	0	i	0
a	847	1718	3551	s	x	1 0	0	0	a	1
a	928	1786	3688	n	t	1 1	0	0	a	1
u	402	1471	3206	s	t	1 1	0	0	u	1
o	687	1008	3464	p	q	0 0	0	0	u	0
